Date,Open,High,Low,Close,Volume
6/24/2022,5.5,5.72,5.41,5.65,"340,848"
6/27/2022,5.65,5.72,5.38,5.42,"177,608"
6/28/2022,5.47,5.58,5.29,5.35,"71,969"
6/29/2022,5.35,5.59,4.86,4.89,"185,464"
6/30/2022,4.75,4.85,4.59,4.68,"148,259"
7/1/2022,4.59,4.75,4.17,4.19,"289,699"
7/5/2022,4.19,4.19,3.79,3.8,"313,645"
7/6/2022,3.8,4.06,3.8,3.9,"171,333"
7/7/2022,4,4.4,4,4.31,"204,651"
7/8/2022,4.3,4.3,4.08,4.15,"213,625"
7/11/2022,4.13,4.13,3.82,3.93,"202,010"
7/12/2022,4,4.32,3.83,4.2,"168,919"
7/13/2022,4.09,4.21,4.01,4.04,"66,454"
7/14/2022,4.09,4.1,3.9,4,"83,724"
7/15/2022,4.13,4.14,3.89,3.95,"120,444"
7/18/2022,4.08,4.38,4.01,4.11,"197,851"
7/19/2022,4.17,4.23,4.06,4.08,"68,554"
7/20/2022,4.12,4.35,4.08,4.23,"188,578"
7/21/2022,4.28,4.45,4.25,4.31,"184,330"
7/22/2022,4.3,4.33,3.88,3.89,"234,321"
7/25/2022,3.97,3.97,3.52,3.59,"280,038"
7/26/2022,3.58,3.77,3.5,3.58,"126,661"
7/27/2022,3.51,3.52,3.2,3.2,"346,523"
7/28/2022,3.42,3.48,3.17,3.29,"383,693"
7/29/2022,3.27,3.56,3.21,3.51,"328,748"
8/1/2022,3.57,3.57,3.31,3.45,"237,303"
8/2/2022,3.4,3.47,3.36,3.39,"287,031"
8/3/2022,3.45,3.67,3.3,3.32,"366,956"
8/4/2022,3.32,3.7,3.32,3.46,"260,774"
8/5/2022,3.46,3.59,3.35,3.57,"167,739"
8/8/2022,3.6,4.04,3.6,3.69,"331,271"
8/9/2022,3.77,3.77,3.49,3.66,"134,994"
8/10/2022,3.78,3.97,3.68,3.94,"292,541"
8/11/2022,4.15,4.18,3.88,3.97,"205,471"
8/12/2022,3.66,4.05,3.42,4.02,"312,399"
8/15/2022,3.95,4.25,3.92,4,"153,308"
8/16/2022,4.02,4.25,3.93,4.04,"277,665"
8/17/2022,4,4.15,3.8,3.82,"149,473"
8/18/2022,4.11,4.11,3.71,3.77,"207,402"
8/19/2022,3.8,3.84,3.4,3.42,"184,510"
8/22/2022,3.35,3.41,3.13,3.2,"199,619"
8/23/2022,3.16,3.32,3.12,3.27,"132,528"
8/24/2022,3.22,3.27,3.1,3.19,"155,453"
8/25/2022,3.2,3.22,3.03,3.08,"292,913"
8/26/2022,3.08,3.1,2.9,2.93,"205,454"
8/29/2022,2.95,3,2.8,2.9,"174,982"
8/30/2022,2.88,2.9,2.72,2.75,"135,120"
8/31/2022,2.75,2.96,2.75,2.87,"189,955"
9/1/2022,2.81,2.85,2.7,2.79,"129,198"
9/2/2022,2.79,2.8,2.51,2.55,"239,376"
9/6/2022,2.6,2.6,2.38,2.47,"310,811"
9/7/2022,2.44,2.55,2.4,2.44,"269,061"
9/8/2022,2.42,2.59,2.4,2.48,"230,363"
9/9/2022,2.51,2.65,2.45,2.53,"296,421"
9/12/2022,2.57,2.64,2.49,2.53,"200,247"
9/13/2022,2.38,2.47,2.27,2.41,"215,453"
9/14/2022,2.4,2.54,2.4,2.47,"128,334"
9/15/2022,2.47,2.49,2.31,2.32,"127,415"
9/16/2022,2.33,2.34,2.08,2.08,"168,062"
9/19/2022,2.08,2.21,2,2.05,"195,274"
9/20/2022,2.03,2.11,1.93,1.93,"150,392"
9/21/2022,1.58,1.92,1.56,1.84,"514,626"
9/22/2022,1.9,1.91,1.75,1.75,"118,245"
9/23/2022,1.75,1.8,1.64,1.7,"210,692"
9/26/2022,1.61,1.83,1.61,1.71,"241,629"
9/27/2022,1.75,1.79,1.62,1.63,"158,363"
9/28/2022,1.63,1.76,1.62,1.64,"290,997"
9/29/2022,1.6,1.61,1.47,1.49,"286,250"
9/30/2022,1.5,1.57,1.4,1.4,"139,468"
10/3/2022,1.46,1.46,1.35,1.37,"434,804"
10/4/2022,1.39,1.48,1.22,1.39,"488,023"
10/5/2022,1.4,1.48,1.34,1.44,"156,468"
10/6/2022,1.44,1.49,1.4,1.45,"187,702"
10/7/2022,1.43,1.43,1.31,1.32,"116,540"
