Date,Open,High,Low,Close,Volume
4/12/2022,58.99,61.36,58.9,59.14,"26,820,867"
4/13/2022,60,61.03,58.2,59.62,"21,358,382"
4/14/2022,59.23,60.37,58.71,59.34,"18,789,385"
4/18/2022,60.21,63.01,59.93,61.37,"30,802,492"
4/19/2022,60.04,61.47,59.83,60.38,"19,514,640"
4/20/2022,60.75,61.84,59.86,61.47,"20,837,836"
4/21/2022,61.71,63.56,58.52,59.2,"32,050,433"
4/22/2022,59.22,59.22,56.32,56.62,"22,816,947"
4/25/2022,54.62,55.3,51.53,54.92,"32,976,979"
4/26/2022,55.9,56.89,54.66,54.82,"27,151,259"
4/27/2022,54.8,56.4,53.21,55.59,"20,688,475"
4/28/2022,55.49,57.52,53.92,57.03,"20,633,143"
4/29/2022,57.22,57.72,54.67,55.09,"19,208,596"
5/2/2022,54.53,58.55,53.95,58.3,"38,104,698"
5/3/2022,57.78,60.49,57.75,59.24,"24,723,439"
5/4/2022,60.62,61.86,58.87,61.57,"27,975,499"
5/5/2022,63.56,64.5,60.44,62.29,"42,153,578"
5/6/2022,63.23,64.98,61.45,64.94,"30,897,863"
5/9/2022,63.11,63.26,57.09,57.84,"40,093,511"
5/10/2022,59.3,60.23,56.91,59.41,"30,590,159"
5/11/2022,59.94,63.43,58.95,60.1,"36,357,072"
5/12/2022,60.14,60.23,57.06,59.22,"23,862,877"
5/13/2022,60.77,64.47,60.75,64.08,"35,184,864"
5/16/2022,64.64,68.73,64.51,67.72,"38,650,675"
5/17/2022,68.87,69.17,67.12,67.94,"28,834,803"
5/18/2022,68.5,68.7,63.23,64.3,"28,649,823"
5/19/2022,63.03,65.73,62.83,63.96,"27,147,556"
5/20/2022,64.41,65.38,61.47,63.26,"23,803,391"
5/23/2022,63.57,65.76,62.8,65.42,"24,517,338"
5/24/2022,64.3,66.47,62.82,65.07,"19,892,932"
5/25/2022,65.6,66.64,65.04,66.39,"18,245,005"
5/26/2022,66.78,69.41,66.73,68.66,"22,548,615"
5/27/2022,68.58,71.28,67.74,70.86,"20,843,906"
5/31/2022,73.07,74.04,69,69.31,"41,019,492"
6/1/2022,70.63,71.09,68.18,70.42,"28,856,914"
6/2/2022,69.6,70.79,68.76,69.3,"23,447,614"
6/3/2022,69.44,71.31,69.38,70.29,"23,397,785"
6/6/2022,70.1,70.73,68.47,69.61,"25,654,112"
6/7/2022,68.6,71.47,68.22,70.55,"25,630,471"
6/8/2022,70.58,70.99,68.36,69.03,"29,262,712"
6/9/2022,68,68.84,65.15,65.18,"25,166,623"
6/10/2022,64.82,66.12,62.9,63.87,"27,441,946"
6/13/2022,61.37,61.8,58.44,59.83,"34,448,407"
6/14/2022,61.78,64.12,60.9,62.09,"31,328,407"
6/15/2022,61.17,61.98,59.24,60.28,"29,608,916"
6/16/2022,58.77,59.57,55.89,56.81,"40,604,250"
6/17/2022,56.45,57.19,54.35,55.68,"51,530,833"
6/21/2022,57.79,58.74,56.44,57.87,"31,096,551"
6/22/2022,55.02,56.97,54.3,55.77,"37,845,610"
6/23/2022,58.17,58.29,54.93,56.09,"36,861,532"
6/24/2022,57.82,59.93,56.8,57.52,"45,335,599"
6/27/2022,58.21,60.15,58.16,58.9,"26,793,472"
6/28/2022,60.97,62.97,60.16,61.71,"39,137,647"
6/29/2022,62.12,62.78,58.46,59.1,"31,710,746"
6/30/2022,57.95,59.81,57.48,58.88,"27,244,414"
7/1/2022,59.41,60.67,57.08,60.44,"28,036,794"
7/5/2022,59.06,59.55,56.72,59.11,"40,025,176"
7/6/2022,58.58,60.04,56.69,59.11,"30,682,695"
7/7/2022,60.85,62.14,60.85,61.47,"25,249,707"
7/8/2022,63.18,63.23,60.45,60.67,"25,463,679"
7/11/2022,59.58,59.99,58.68,59.52,"17,906,524"
7/12/2022,57.42,58.05,55.93,57.37,"25,927,818"
7/13/2022,56.88,59.21,56.77,58.01,"19,295,492"
7/14/2022,56.61,57.72,55.91,57.23,"24,478,753"
7/15/2022,58.05,58.78,57.1,58.71,"18,944,543"
7/18/2022,60.05,61.85,59.58,60.05,"20,112,548"
7/19/2022,60.12,62.92,59.96,62.82,"21,616,369"
7/20/2022,61.3,63.77,61.2,63.55,"17,643,134"
7/21/2022,61.7,62.07,60.22,62,"16,640,469"
7/22/2022,62,63,60.41,61.06,"14,198,421"
