Date,Open,High,Low,Close,Volume
4/14/2022,"4,449.12","4,460.46","4,390.77",4392.59,0
4/18/2022,"4,385.63","4,410.31","4,370.30",4391.69,0
4/19/2022,"4,390.63","4,471.03","4,390.63",4462.21,0
4/20/2022,"4,472.26","4,488.29","4,448.76",4459.45,0
4/21/2022,"4,489.17","4,512.94","4,384.47",4393.66,0
4/22/2022,"4,385.83","4,385.83","4,267.62",4271.78,0
4/25/2022,"4,255.34","4,299.02","4,200.82",4296.12,0
4/26/2022,"4,278.14","4,278.14","4,175.04",4175.20,0
4/27/2022,"4,186.52","4,240.71","4,162.90",4183.96,0
4/28/2022,"4,222.58","4,308.45","4,188.63",4287.50,0
4/29/2022,"4,253.75","4,269.68","4,124.28",4131.93,0
5/2/2022,"4,130.61","4,169.81","4,062.51",4155.38,0
5/3/2022,"4,159.78","4,200.10","4,147.08",4175.48,0
5/4/2022,"4,181.18","4,307.66","4,148.91",4300.17,0
5/5/2022,"4,270.43","4,270.43","4,106.01",4146.87,0
5/6/2022,"4,128.17","4,157.69","4,067.91",4123.34,0
5/9/2022,"4,081.27","4,081.27","3,975.48",3991.24,0
5/10/2022,"4,035.18","4,068.82","3,958.17",4001.05,0
5/11/2022,"3,990.08","4,049.09","3,928.82",3935.18,0
5/12/2022,"3,903.95","3,964.80","3,858.87",3930.08,0
5/13/2022,"3,963.90","4,038.88","3,963.90",4023.89,0
5/16/2022,"4,013.02","4,046.46","3,983.99",4008.01,0
5/17/2022,"4,052.00","4,090.72","4,033.93",4088.85,0
5/18/2022,"4,051.98","4,051.98","3,911.91",3923.68,0
5/19/2022,"3,899.00","3,945.96","3,876.58",3900.79,0
5/20/2022,"3,927.76","3,943.42","3,810.32",3901.36,0
5/23/2022,"3,919.42","3,981.88","3,909.04",3973.75,0
5/24/2022,"3,942.94","3,955.68","3,875.13",3941.48,0
5/25/2022,"3,929.59","3,999.33","3,925.03",3978.73,0
5/26/2022,"3,984.60","4,075.14","3,984.60",4057.84,0
5/27/2022,"4,077.43","4,158.49","4,077.43",4158.24,0
5/31/2022,"4,151.09","4,168.34","4,104.88",4132.15,0
6/1/2022,"4,149.78","4,166.54","4,073.85",4101.23,0
6/2/2022,"4,095.41","4,177.51","4,074.37",4176.82,0
6/3/2022,"4,137.57","4,142.67","4,098.67",4108.54,0
6/6/2022,"4,134.72","4,168.78","4,109.18",4121.43,0
6/7/2022,"4,096.47","4,164.86","4,080.19",4160.68,0
6/8/2022,"4,147.12","4,160.14","4,107.20",4115.77,0
6/9/2022,"4,101.65","4,119.10","4,017.17",4017.82,0
6/10/2022,"3,974.39","3,974.39","3,900.16",3900.86,0
6/13/2022,"3,838.15","3,838.15","3,734.30",3749.63,0
6/14/2022,"3,763.52","3,778.18","3,705.68",3735.48,0
6/15/2022,"3,764.05","3,837.56","3,722.30",3789.99,0
6/16/2022,"3,728.18","3,728.18","3,639.77",3666.77,0
6/17/2022,"3,665.90","3,707.71","3,636.87",3674.84,0
6/21/2022,"3,715.31","3,779.65","3,715.31",3764.79,0
6/22/2022,"3,733.89","3,801.79","3,717.69",3759.89,0
6/23/2022,"3,774.71","3,802.58","3,743.52",3795.73,0
